Industry,Pre_Emp_Direct,Pre_Emp_Indirect,Pre_Emp_Induced,Pre_Emp_Total
347 - All other transportation equipment manufacturing,0.0,13.3,120.69,133.99
359 - Surgical and medical instrument manufacturing,0.0,12.87,365.08,377.95
111 - Fabric coating mills,0.0,12.85,38.07,50.92
290 - Telephone apparatus manufacturing,0.0,12.82,17.56,30.38
118 - Cut and sew apparel contractors,0.0,12.59,409.64,422.22
93 - Other snack food manufacturing,0.0,12.24,810.26,822.51
"345 - Motorcycle, bicycle, and parts manufacturing",0.0,11.84,112.33,124.17
253 - Lawn and garden equipment manufacturing,0.0,11.8,11.2,23.0
59 - Other animal food manufacturing,0.0,11.58,469.09,480.67
160 - Phosphatic fertilizer manufacturing,0.0,11.27,29.46,40.73
280 - Power-driven handtool manufacturing,0.0,11.07,17.67,28.74
"372 - Broom, brush, and mop manufacturing",0.0,11.07,64.39,75.46
64 - Soybean and other oilseed processing,0.0,10.88,120.05,130.92
79 - Fluid milk manufacturing,0.0,10.45,738.18,748.63
74 - Canned fruits and vegetables manufacturing,0.0,10.4,680.92,691.33
98 - All other food manufacturing,0.0,10.11,1542.36,1552.48
203 - Cut stone and stone product manufacturing,0.0,10.03,164.11,174.14
"189 - Pottery, ceramics, and plumbing fixture manufacturing",0.0,9.64,65.88,75.52
310 - Electric lamp bulb and part manufacturing,0.0,9.56,33.17,42.72
471 - Other ambulatory health care services,0.0,9.52,6850.59,6860.11
252 - Farm machinery and equipment manufacturing,0.0,9.52,14.05,23.56
254 - Construction machinery manufacturing,0.0,9.32,5.31,14.63
233 - Power boiler and heat exchanger manufacturing,0.0,9.19,8.81,18.0
81 - Ice cream and frozen dessert manufacturing,0.0,8.48,281.1,289.58
162 - Pesticide and other agricultural chemical manufacturing,0.0,8.38,113.76,122.14
3 - Vegetable and melon farming,0.0,8.31,1915.46,1923.77
360 - Surgical appliance and supplies manufacturing,0.0,7.9,480.5,488.4
269 - Rolling mill and other metalworking machinery manufacturing,0.0,7.71,28.41,36.12
485 - Gambling industries (except casino hotels),0.0,7.67,6873.21,6880.88
8 - Cotton farming,0.0,7.46,37.38,44.84
215 - Nonferrous metal (exc aluminum) smelting and refining,0.0,7.4,8.11,15.51
283 - Industrial process furnace and oven manufacturing,0.0,6.97,1.79,8.75
255 - Mining machinery and equipment manufacturing,0.0,6.93,2.04,8.97
120 - Apparel accessories and other apparel manufacturing,0.0,6.9,239.36,246.26
97 - Spice and extract manufacturing,0.0,6.85,390.01,396.85
306 - Analytical laboratory instrument manufacturing,0.0,6.72,16.51,23.23
449 - Veterinary services,0.0,6.66,7381.96,7388.62
"308 - Watch, clock, and other measuring and controlling device manufacturing",0.0,6.26,72.59,78.85
136 - Pulp mills,0.0,6.06,11.77,17.83
95 - Flavoring syrup and concentrate manufacturing,0.0,5.65,142.98,148.63
287 - Electronic computer manufacturing,0.0,5.52,47.97,53.49
73 - Frozen specialties manufacturing,0.0,5.44,956.33,961.77
"96 - Mayonnaise, dressing, and sauce manufacturing",0.0,5.38,269.04,274.42
"248 - Ammunition, except for small arms, manufacturing",0.0,5.17,21.43,26.59
172 - Toilet preparation manufacturing,0.0,5.1,656.51,661.6
