Industry,Post_Emp_Direct,Post_Emp_Indirect,Post_Emp_Induced,Post_Emp_Total
148 - Asphalt shingle and coating materials manufacturing,0.0,35.72,33.02,68.74
256 - Oil and gas field machinery and equipment manufacturing,0.0,35.42,9.78,45.2
128 - Reconstituted wood product manufacturing,0.0,35.3,36.33,71.63
289 - Computer terminals and other computer peripheral equipment manufacturing,0.0,34.68,47.09,81.77
17 - Commercial fishing,0.0,34.62,673.11,707.74
367 - Office supplies (except paper) manufacturing,0.0,34.41,103.32,137.73
245 - Plumbing fixture fitting and trim manufacturing,0.0,34.21,39.83,74.04
153 - Synthetic dye and pigment manufacturing,0.0,34.14,48.14,82.29
"297 - Capacitor, resistor, coil, transformer, and other inductor manufacturing",0.0,33.41,56.46,89.87
108 - Nonwoven fabric mills,0.0,33.1,105.77,138.87
32 - Metal mining services,0.0,32.94,8.36,41.3
40 - Electric power generation - Biomass,0.0,32.52,27.91,60.43
"236 - Metal barrels, drums and pails manufacturing",0.0,32.29,86.27,118.56
94 - Coffee and tea manufacturing,0.0,31.84,304.04,335.88
119 - Cut and sew apparel manufacturing (except contractors),0.0,31.75,983.12,1014.88
265 - Industrial mold manufacturing,0.0,31.75,11.5,43.25
163 - Medicinal and botanical manufacturing,0.0,31.43,413.94,445.37
"84 - Animal, except poultry, slaughtering",0.0,31.25,1744.26,1775.51
176 - Photographic film and chemical manufacturing,0.0,31.03,30.31,61.33
316 - Switchgear and switchboard apparatus manufacturing,0.0,30.91,19.75,50.65
342 - Railroad rolling stock manufacturing,0.0,29.84,2.94,32.78
110 - Textile and fabric finishing mills,0.0,29.79,133.21,163.0
235 - Metal cans manufacturing,0.0,29.56,213.43,242.98
204 - Ground or treated mineral and earth manufacturing,0.0,29.26,26.37,55.63
262 - Industrial and commercial fan and blower and air purification equipment manufacturing,0.0,29.0,19.75,48.75
302 - Automatic environmental control manufacturing,0.0,28.93,26.91,55.84
"225 - Cutlery, utensil, pot, and pan manufacturing",0.0,28.73,72.29,101.03
192 - Other pressed and blown glass and glassware manufacturing,0.0,27.57,81.56,109.13
157 - Synthetic rubber manufacturing,0.0,27.38,34.58,61.96
227 - Prefabricated metal buildings and components manufacturing,0.0,26.96,35.94,62.9
23 - Iron ore mining,0.0,26.01,15.82,41.82
211 - Alumina refining and primary aluminum production,0.0,25.55,30.89,56.44
200 - Lime manufacturing,0.0,25.38,24.09,49.46
329 - Travel trailer and camper manufacturing,0.0,24.86,437.14,462.0
"356 - Showcase, partition, shelving, and locker manufacturing",0.0,24.73,63.06,87.8
106 - Broadwoven fabric mills,0.0,24.34,158.44,182.78
63 - Wet corn milling,0.0,23.91,168.85,192.76
193 - Glass container manufacturing,0.0,23.68,154.15,177.83
77 - Cheese manufacturing,0.0,23.5,830.8,854.3
143 - All other converted paper product manufacturing,0.0,22.79,168.02,190.81
343 - Ship building and repairing,0.0,21.95,67.53,89.49
"286 - Scales, balances, and miscellaneous general purpose machinery manufacturing",0.0,21.79,8.58,30.37
234 - Metal tank (heavy gauge) manufacturing,0.0,20.57,14.17,34.74
260 - All other industrial machinery manufacturing,0.0,20.34,17.21,37.55
304 - Totalizing fluid meter and counting device manufacturing,0.0,19.96,16.03,35.99
191 - Flat glass manufacturing,0.0,19.7,35.64,55.35
212 - Secondary smelting and alloying of aluminum,0.0,18.58,22.14,40.72
270 - Turbine and turbine generator set units manufacturing,0.0,18.18,4.83,23.01
291 - Broadcast and wireless communications equipment manufacturing,0.0,17.7,29.43,47.13
159 - Nitrogenous fertilizer manufacturing,0.0,17.53,46.74,64.27
263 - Heating equipment (except warm air furnaces) manufacturing,0.0,17.46,70.84,88.3
218 - Secondary processing of other nonferrous metals,0.0,17.36,15.79,33.15
174 - Explosives manufacturing,0.0,17.24,17.46,34.7
13 - Poultry and egg production,0.0,17.17,1169.25,1186.42
103 - Distilleries,0.0,17.16,382.49,399.65
"28 - Other clay, ceramic, refractory minerals mining",0.0,16.9,18.34,35.24
323 - All other miscellaneous electrical equipment and component manufacturing,0.0,16.77,11.16,27.93
277 - Conveyor and conveying equipment manufacturing,0.0,16.48,7.91,24.39
171 - Surface active agent manufacturing,0.0,16.43,29.81,46.25
161 - Fertilizer mixing,0.0,16.12,41.42,57.53
281 - Welding and soldering equipment manufacturing,0.0,14.96,7.48,22.44
99 - Bottled and canned soft drinks and water,0.0,14.9,1508.49,1523.38
39 - Electric power generation - Geothermal,0.0,14.82,12.72,27.54
268 - Machine tool manufacturing,0.0,14.41,9.88,24.29
65 - Fats and oils refining and blending,0.0,14.32,110.66,124.98
