Industry,Pre_Out_Direct,Pre_Out_Indirect,Pre_Out_Induced,Pre_Out_Total
514 - Local government passenger transit,0.0,31796539.83,164504192.13,196300731.96
92 - Roasted nuts and peanut butter manufacturing,0.0,3526055.13,190951539.11,194477594.23
66 - Breakfast cereal manufacturing,0.0,203665.49,193562733.69,193766399.18
182 - Polystyrene foam product manufacturing,0.0,46741347.85,146951794.93,193693142.78
"96 - Mayonnaise, dressing, and sauce manufacturing",0.0,3641718.45,182236224.75,185877943.2
158 - Artificial and synthetic fibers and filaments manufacturing,0.0,56212060.92,129222039.62,185434100.55
119 - Cut and sew apparel manufacturing (except contractors),0.0,5617478.2,179495092.57,185112570.77
69 - Nonchocolate confectionery manufacturing,0.0,1250359.69,183494458.09,184744817.78
294 - Printed circuit assembly (electronic assembly) manufacturing,0.0,89450531.7,95233810.74,184684342.44
313 - Major household appliance manufacturing,0.0,26186303.43,158040117.3,184226420.73
238 - Spring and wire product manufacturing,0.0,120023140.1,62967264.3,182990404.4
510 - Other federal government enterprises,0.0,96679457.3,86278948.88,182958406.18
89 - Cookie and cracker manufacturing,0.0,980321.28,181618488.02,182598809.3
71 - Confectionery manufacturing from purchased chocolate,0.0,1054497.06,178114520.56,179169017.63
"419 - News syndicates, libraries, archives and all other information services",0.0,29089527.17,146972146.2,176061673.37
"208 - Iron, steel pipe and tube manufacturing from purchased steel",0.0,107821152.23,63589594.74,171410746.97
206 - Miscellaneous nonmetallic mineral products manufacturing,0.0,155169575.04,9578442.03,164748017.07
159 - Nitrogenous fertilizer manufacturing,0.0,43140903.97,118723753.17,161864657.14
299 - Other electronic component manufacturing,0.0,72108040.67,83513902.53,155621943.2
"22 - Copper, nickel, lead, and zinc mining",0.0,56425578.03,99186035.54,155611613.57
"213 - Aluminum sheet, plate, and foil manufacturing",0.0,54002879.92,100831022.86,154833902.79
334 - Motor vehicle metal stamping,0.0,66235355.14,86173083.66,152408438.8
"264 - Air conditioning, refrigeration, and warm air heating equipment manufacturing",0.0,51227865.29,100672051.8,151899917.09
75 - Canned specialties,0.0,2124558.58,146292753.38,148417311.96
150 - All other petroleum and coal products manufacturing,0.0,95950393.82,50816145.06,146766538.89
168 - Adhesive manufacturing,0.0,49133192.68,96665376.84,145798569.52
333 - Motor vehicle seating and interior trim manufacturing,0.0,69715261.19,73965710.66,143680971.85
188 - Other rubber product manufacturing,0.0,72457929.8,69970919.24,142428849.05
"249 - Small arms, ordnance, and accessories manufacturing",0.0,22959325.39,119233824.37,142193149.76
365 - Sporting and athletic goods manufacturing,0.0,587921.69,140954173.03,141542094.72
359 - Surgical and medical instrument manufacturing,0.0,4774716.26,135477838.75,140252555.02
179 - Unlaminated plastics profile shape manufacturing,0.0,56820871.44,79694032.31,136514903.75
125 - Wood preservation,0.0,88532832.81,45577016.25,134109849.06
230 - Metal window and door manufacturing,0.0,66428879.21,66774837.35,133203716.56
339 - Other aircraft parts and auxiliary equipment manufacturing,0.0,122431682.68,6836582.7,129268265.38
194 - Glass product manufacturing made of purchased glass,0.0,37849017.42,91110792.1,128959809.52
"222 - Metal crown, closure, and other metal stamping (except automotive)",0.0,56774927.74,71442393.63,128217321.38
"408 - Directory, mailing list, and other publishers",0.0,32998716.74,93525796.79,126524513.52
81 - Ice cream and frozen dessert manufacturing,0.0,3686181.33,122147695.47,125833876.79
349 - Upholstered household furniture manufacturing,0.0,153267.74,125621318.94,125774586.69
"214 - Other aluminum rolling, drawing and extruding",0.0,46136404.4,79624362.07,125760766.47
321 - Wiring device manufacturing,0.0,75217345.1,48621684.73,123839029.83
26 - Stone mining and quarrying,0.0,70740777.35,52499060.48,123239837.83
68 - Sugar cane mills and refining,0.0,1225784.61,119874606.41,121100391.02
80 - Creamery butter manufacturing,0.0,2154364.49,117178645.31,119333009.79
195 - Cement manufacturing,0.0,80951677.29,38134002.39,119085679.68
199 - Other concrete product manufacturing,0.0,59950551.07,58800904.21,118751455.28
148 - Asphalt shingle and coating materials manufacturing,0.0,60555506.11,57781890.1,118337396.21
223 - Iron and steel forging,0.0,85186594.34,32505855.91,117692450.25
237 - Hardware manufacturing,0.0,67031154.84,48122668.13,115153822.97
328 - Motor home manufacturing,0.0,86062.1,110779957.25,110866019.34
357 - Mattress manufacturing,0.0,384524.26,110163041.6,110547565.86
287 - Electronic computer manufacturing,0.0,11047658.47,95913300.21,106960958.69
"181 - Laminated plastics plate, sheet (except packaging), and shape manufacturing",0.0,49486441.65,55380424.06,104866865.71
193 - Glass container manufacturing,0.0,13421803.96,90185073.71,103606877.68
364 - Jewelry and silverware manufacturing,0.0,1278840.85,100154778.55,101433619.41
147 - Asphalt paving mixture and block manufacturing,0.0,54957410.52,45902555.74,100859966.26
232 - Ornamental and architectural metal work manufacturing,0.0,47807336.55,52363614.82,100170951.37
141 - Stationery product manufacturing,0.0,59581320.51,39060753.57,98642074.09
347 - All other transportation equipment manufacturing,0.0,9638162.49,87469538.15,97107700.64
165 - In-vitro diagnostic substance manufacturing,0.0,145816.93,96958433.94,97104250.87
"366 - Doll, toy, and game manufacturing",0.0,2352348.82,93288760.58,95641109.4
226 - Handtool manufacturing,0.0,32982523.65,62489786.83,95472310.48
362 - Ophthalmic goods manufacturing,0.0,358232.35,94905639.58,95263871.93
201 - Gypsum product manufacturing,0.0,49944690.05,44549302.76,94493992.82
"131 - Other millwork, including flooring",0.0,47477885.82,46429080.1,93906965.92
91 - Tortilla manufacturing,0.0,561794.1,91884947.91,92446742.0
70 - Chocolate and confectionery manufacturing from cacao beans,0.0,564055.08,91541388.35,92105443.43
247 - Small arms ammunition manufacturing,0.0,19101310.0,71591566.66,90692876.66
293 - Audio and video equipment manufacturing,0.0,1415741.55,87922090.13,89337831.68
135 - All other miscellaneous wood product manufacturing,0.0,34383949.9,54732881.96,89116831.86
127 - Engineered wood member and truss manufacturing,0.0,42667776.38,45792874.67,88460651.06
315 - Motor and generator manufacturing,0.0,67395617.45,20847890.02,88243507.47
76 - Dehydrated food products manufacturing,0.0,1197381.85,86596532.74,87793914.59
143 - All other converted paper product manufacturing,0.0,10052783.98,76503285.57,86556069.55
116 - Other textile product mills,0.0,39246043.06,46602123.97,85848167.02
16 - Commercial logging,0.0,50558511.55,34946847.29,85505358.85
"274 - Measuring, dispensing, and other pumping equipment manufacturing",0.0,56874335.52,28499032.84,85373368.36
363 - Dental laboratories,0.0,218.9,85323513.0,85323731.9
24 - Gold ore and silver ore mining,0.0,36914734.81,48070657.03,84985391.84
82 - Frozen cakes and other pastries manufacturing,0.0,1176030.36,83685878.04,84861908.4
212 - Secondary smelting and alloying of aluminum,0.0,36782804.14,45249894.04,82032698.18
292 - Other communications equipment manufacturing,0.0,54066533.59,26825692.59,80892226.18
171 - Surface active agent manufacturing,0.0,27640755.36,51764529.99,79405285.36
311 - Lighting fixture manufacturing,0.0,32951569.56,46215702.94,79167272.5
309 - Manufacturing and reproducing magnetic and optical media,0.0,30479110.72,48065048.54,78544159.26
86 - Rendering and meat byproduct processing,0.0,3035851.36,73307151.61,76343002.97
210 - Steel wire drawing,0.0,49072723.96,27049719.64,76122443.6
40 - Electric power generation - Biomass,0.0,40136000.06,35560494.58,75696494.64
488 - Bowling centers,0.0,8938.7,75463183.31,75472122.01
261 - Commercial and service industry machinery manufacturing,0.0,50315366.15,24020146.72,74335512.87
153 - Synthetic dye and pigment manufacturing,0.0,29903349.96,43518323.08,73421673.04
114 - Textile bag and canvas mills,0.0,21725068.72,51358678.13,73083746.85
298 - Electronic connector manufacturing,0.0,36173492.74,35375027.63,71548520.37
108 - Nonwoven fabric mills,0.0,16609662.95,54781348.85,71391011.79
128 - Reconstituted wood product manufacturing,0.0,33944845.18,36046293.81,69991138.99
5 - Tree nut farming,0.0,505219.89,68606524.51,69111744.4
9 - Sugarcane and sugar beet farming,0.0,744355.92,67977698.24,68722054.17
350 - Nonupholstered wood household furniture manufacturing,0.0,436884.49,68163345.18,68600229.66
126 - Veneer and plywood manufacturing,0.0,35142517.26,33382650.17,68525167.43
