Industry,Post_Out_Direct,Post_Out_Indirect,Post_Out_Induced,Post_Out_Total
70 - Chocolate and confectionery manufacturing from cacao beans,0.0,575362.15,90451175.48,91026537.63
247 - Small arms ammunition manufacturing,0.0,19484215.46,70772535.09,90256750.55
315 - Motor and generator manufacturing,0.0,68746632.13,20604827.04,89351459.16
135 - All other miscellaneous wood product manufacturing,0.0,35073211.64,54093731.65,89166943.29
127 - Engineered wood member and truss manufacturing,0.0,43523095.98,45263391.54,88786487.52
293 - Audio and video equipment manufacturing,0.0,1444121.55,86887270.49,88331392.03
76 - Dehydrated food products manufacturing,0.0,1221384.6,85573488.36,86794872.96
"274 - Measuring, dispensing, and other pumping equipment manufacturing",0.0,58014440.25,28170323.82,86184764.07
16 - Commercial logging,0.0,51572009.08,34539229.56,86111238.63
116 - Other textile product mills,0.0,40032770.48,46060600.25,86093370.73
143 - All other converted paper product manufacturing,0.0,10254302.41,75603032.8,85857335.21
24 - Gold ore and silver ore mining,0.0,37654728.75,47511721.33,85166450.08
363 - Dental laboratories,0.0,223.29,84318370.22,84318593.51
82 - Frozen cakes and other pastries manufacturing,0.0,1199605.11,82695732.55,83895337.65
212 - Secondary smelting and alloying of aluminum,0.0,37520153.4,44720813.67,82240967.07
292 - Other communications equipment manufacturing,0.0,55150353.03,26513321.89,81663674.92
171 - Surface active agent manufacturing,0.0,28194842.82,51150887.68,79345730.5
311 - Lighting fixture manufacturing,0.0,33612117.76,45675185.24,79287303.0
309 - Manufacturing and reproducing magnetic and optical media,0.0,31090095.94,47509014.47,78599110.41
210 - Steel wire drawing,0.0,50056437.34,26731503.3,76787940.64
40 - Electric power generation - Biomass,0.0,40940567.59,35140507.32,76081074.9
86 - Rendering and meat byproduct processing,0.0,3096708.13,72436539.35,75533247.48
261 - Commercial and service industry machinery manufacturing,0.0,51323989.57,23741828.48,75065818.05
488 - Bowling centers,0.0,9117.89,74617972.47,74627090.36
